bancarizado,codigodepartamentoatencion,codigomunicipioatencion,discapacidad,estadobeneficiario,etnia,fechainscripcionbeneficiario,genero,nivelescolaridad,nombredepartamentoatencion,nombremunicipioatencion,pais,tipoasignacionbeneficio,tipobeneficio,tipodocumento,tipopoblacion,rangobeneficioconsolidadoasignado,rangoultimobeneficioasignado,fechaultimobeneficioasignado,rangoedad,titular,cantidaddebeneficiarios
NO,15,15572,NO,ACTIVO,ND,2016-04-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,4
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,1.500.001 - 3.000.000,0 - 1.300.000,2017-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,SISBEN,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2017-09-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,ACTIVO,ND,2015-11-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2015-04-01,Mujer,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,SI,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,3
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,50-65,SI,1
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,UNIDOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2014-10-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,3
NO,15,15572,NO,ACTIVO,ND,2016-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,UNIDOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,50-65,SI,4
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,UNIDOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,18-29,SI,1
NO,15,15572,NO,ACTIVO,ROM O GITANO,2012-12-01,Hombre,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN SECUNDARIA,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,SISBEN,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2013-10-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,18-29,SI,1
NO,15,15572,NO,NO ACTIVO,ND,2012-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Hombre,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,3
NO,15,15572,NO,ACTIVO,ND,2016-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2018-01-01,>65,SI,1
NO,15,15572,NO,ACTIVO,ND,2014-10-01,Hombre,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,ND,0 - 1.500.000,0 - 1.300.000,2014-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2014-11-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,ACTIVO,ND,2015-08-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-11-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,4
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,SISBEN,> 6.000.001,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,SISBEN,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-11-01,Hombre,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2016-05-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2017-02-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,30-49,SI,2
NO,15,15572,NO,ACTIVO,ND,2015-03-01,Mujer,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-03-01,Mujer,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,7
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,>65,SI,1
NO,15,15572,NO,NO ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,7
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2018-01-01,50-65,SI,2
NO,15,15572,SI,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,5
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,ND,0 - 1.500.000,0 - 1.300.000,2014-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2014-07-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,18-29,SI,1
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2016-02-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,4
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2016-04-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,3
NO,15,15572,NO,ACTIVO,ND,2013-12-01,Mujer,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN SECUNDARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
ND,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,NUTRICIÓN,CC,SISBEN,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-07-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,DESPLAZADOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,>65,SI,1
NO,15,15572,NO,NO ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,EDUCACIÓN SECUNDARIA,TI,ND,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2013-12-01,Mujer,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2015-09-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,ACTIVO,ROM O GITANO,2012-12-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2015-05-01,Hombre,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,3
NO,15,15572,SI,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,NUTRICIÓN,CC,ND,0 - 1.500.000,0 - 1.300.000,2014-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-07-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,8
NO,15,15572,NO,ACTIVO,ND,2017-10-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,SI,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,2
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,>65,SI,1
NO,15,15572,NO,ACTIVO,ND,2017-09-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,NO ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,UNIDOS,3.000.001 - 4.500.000,0 - 1.300.000,2015-01-01,>65,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-10-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2014-10-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,DESPLAZADOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-07-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,>65,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓN,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN SECUNDARIA,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,29
NO,15,15572,NO,ACTIVO,ND,2012-10-01,Hombre,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓN,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
,15,15572,NO,ACTIVO,ND,2018-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2016-01-01,50-65,SI,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,DESPLAZADOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2014-03-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2018-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,30-49,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-10-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,1.500.001 - 3.000.000,0 - 1.300.000,2015-01-01,30-49,NO,1
SI,15,15572,NO,ACTIVO,ROM O GITANO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-05-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,4
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,2
NO,15,15572,NO,ACTIVO,ND,2018-06-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,18-29,SI,1
NO,15,15572,NO,ACTIVO,ND,2016-07-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,4
NO,15,15572,NO,ACTIVO,ND,2016-09-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,ACTIVO,ND,2016-07-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2017-02-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2018-11-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,ND,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,50-65,NO,1
NO,15,15572,NO,ACTIVO,ND,2013-05-01,Mujer,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN SECUNDARIA,TI,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,2
NO,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2015-03-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,29
NO,15,15572,NO,ACTIVO,ND,2012-11-01,Hombre,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN SECUNDARIA,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,SECUNDARIA,BOYACA,PUERTO BOYACA,ND,ND,ND,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2015-07-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,UNIDOS,> 6.000.001,0 - 1.300.000,2018-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-03-01,Hombre,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,7
ND,15,15572,NO,NO ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,COLOMBIA,ND,ND,TI,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2015-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,3
NO,15,15572,NO,ACTIVO,ND,2015-04-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,31
NO,15,15572,NO,ACTIVO,ND,2014-05-01,Hombre,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2016-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,ND,0 - 1.500.000,0 - 1.300.000,2014-01-01,50-65,SI,2
SI,15,15572,NO,ACTIVO,ND,2015-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,DESPLAZADOS,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2015-08-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,ACTIVO,ND,2015-04-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,7
NO,15,15572,NO,ACTIVO,ND,2015-11-01,Mujer,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
